NAME;RATING;GROSS
The Magnfcent Seven;77;4910000
Les yeux sans vsage;77;50000
Fantasa;77;76410000
Searchng;76;26020000
Once Upon a Tme... n Hollywood;76;142500000
Loveless;76;570000
The Florda Project;76;5900000
Gfted;76;24800000
The Peanut Butter Falcon;76;13120000
Guardans of the Galaxy Vol. 2;76;389810000
Baby Drver;76;107830000
Only the Brave;76;18340000
Brdge of Spes;76;72310000
ncredbles 2;76;608580000
Moana;76;248760000
Scaro;76;46890000
Creed;76;109770000
Levathan;76;1090000
Hell or Hgh Water;76;26860000
Phlomena;76;37710000
Dawn of the Planet of the Apes;76;208550000
The Rad: Redempton;76;4110000
End of Watch;76;41000000
The Secret World of Arretty;76;19200000
A Star s Born;76;215290000
True Grt;76;171240000
n a Better World;76;1010000
Despcable Me;76;251510000
50/50;76;35010000
Kck-Ass;76;48070000
Moneyball;76;75610000
The Skn Lve n;76;3190000
Zombeland;76;75590000
Sherlock Holmes;76;209030000
The Blnd Sde;76;255960000
The Vstor;76;9420000
Seven Pounds;76;69950000
Eastern Promses;76;17110000
Stardust;76;38630000
The Secret of Kells;76;690000
nsde Man;76;88510000
Gone Baby Gone;76;20300000
La Ve En Rose;76;10300000
Fearless;76;24630000
The llusonst;76;39870000
Dead Man's Shoes;76;10000
Harry Potter and the Half-Blood Prnce;76;301960000
300;76;210610000
Match Pont;76;23090000
Watchmen;76;107510000
Lord of War;76;24150000
Saw;76;56000000
Mysterous Skn;76;700000
A Very Long Engagement;76;6170000
The Staton Agent;76;5740000
21 Grams;76;16290000
Sympathy for Mr. Vengeance;76;50000
25th Hour;76;13060000
The Butterfly Effect;76;57940000
Am Sam;76;40310000
The Royal Tenenbaums;76;52360000
Y Tu MamÃ¡ TambÃ©n;76;13620000
Harry Potter and the Sorcerer's Stone;76;317580000
The Others;76;96520000
Enemy at the Gates;76;51400000
Traffc;76;124120000
Mnorty Report;76;132070000
Amercan Psycho;76;15070000
The Thn Red Lne;76;36400000
Mulan;76;120620000
Fear and Loathng n Las Vegas;76;10680000
Dark Cty;76;14380000
Lost Hghway;76;3800000
De Hard wth a Vengeance;76;100010000
The Brdges of Madson County;76;71520000
Apollo 13;76;173840000
Three Colors: Whte;76;1460000
Fallng Down;76;40900000
Dazed and Confused;76;7990000
My Cousn Vnny;76;52930000
Only Yesterday;76;450000
Delcatessen;76;1790000
The Hunt for Red October;76;122010000
Home Alone;76;285760000
The Godfather: Part ;76;66670000
When Harry Met Sally...;76;92820000
The Lttle Mermad;76;111540000
The Naked Gun: From the Fles of Polce Squad!;76;78760000
Wthnal & ;76;1540000
Lethal Weapon;76;65210000
Blood Smple;76;2150000
On Golden Pond;76;119290000
Mad Max 2: The Road Warror;76;12470000
The Warrors;76;22490000
The Muppet Move;76;76660000
Escape from Alcatraz;76;43000000
Close Encounters of the Thrd Knd;76;132090000
The Long Goodbye;76;960000
Duck You Sucker;76;700000
Kelly's Heroes;76;1380000
The Jungle Book;76;141840000
A Hard Day's Nght;76;13780000
Shane;76;20000000
From Here to Eternty;76;30500000
